gid,custom_fields,due_on,name,notes,start_on
1163103552506513,,2020-02-27,Example Task,,null
1163006841605730,,null,Example Task,,null
1141511490626098,,null,Example Task,,null
1136464734471117,,null,Example Task,,null
4824584069992,,null,2 SF Technical Support Reps,,null
4824584069994,,null,3 SF Technical Account Managers,,null
4824584069996,,null,2 AMS Technical Account Managers,,null
4824584069998,,null,1 SF Strategic Optimization Consultant,,null
4824584070000,,null,1 SF Customer Education Manager,,null
4824584070002,,null,2 SF Customer Account Executives,,null
3690140995213,,null,[tech] platinum training curriculum,,null
4881367016366,,null,"[tech] prominently display most requested, accessed KB articles in support.optimizely.com",,null
3690140995178,,null,[tech] launch intermediate and advanced training webinar for customers,,null
4824584069964,,null,"[tech] more ""getting started"" tutorials",,null
5002616932152,,null,[non-tech] get customer processes wrapped around optimizely,,null
4888485294587,,null,[non-tech] find new ways to WOW customers,,null
4824584069962,,null,[non-tech] generate more customer success story case studies,,null
4888485294578,,null,"[non-tech] ""8 Steps to Optimizely Success"" (adoption ladder)",,null
4824584069966,,null,"[non-tech] adding NPS ""how likely are you to recommend Optimizely to your friends and colleagues?""",,null
4888485294583,,null,"define requirements for support, project management and customer success systems",,null
2943349204993,,null,integrate phone support calls into desk.com for tracking,,null
4881367016368,,null,update support voicemail to be more customer friendly,,null
4824584069968,,null,increase # of nice reply responses,,null
4824584069970,,null,add post-onboarding survey for platinum clients,,null
4824584069972,,null,"improve strategy on handling the queue, enforcing SLAs by subscription level",,null
4824584069974,,null,set goal of which systems we want up and by when,,null
4824584069976,,null,measuring focus and impact of presales efforts,,null
4824584069978,,null,better visibility into customer feature requests,,null
4881367016370,,null,"add label to cases that might be good candidates for kb article, video, etc.",,null
4824584069980,,null,"personal/team OKRs, performance metrics",,null
4881367016362,,null,"host san francisco meetup for tech support teams (desk.com, atlassian, zendesk, ?)",,null
4876718242317,,null,"schedule bi-monthly training (technical, customer service topics, invite guest speakers)",,null
4824584069982,,null,increase referrals,,null
4824584069984,,null,reduce TAM effort per client,,null
4824584069988,,null,office exchange program,,null
4824584069990,,null,"office notification when significant customer event occurs (10 nicereply, happy onboarding, renewal?)",,null
4824584070006,,null,revamped new hire onboarding guide,,null
4607420624744,,2013-05-15,[YouSendIt] Onboarding (POC),"[ONBOARDING OBJECTIVE] create an awesome experience for new platinum clients so they 1) decide NOT to opt-out of 30 day trial and 2) have a great foundation to be successful
[DESCRIPTION] this includes all the major provisioning and TAM tasks needed to successfully onboard a new platinum client.  
[Sales Survey] https://docs.google.com/a/optimizely.com/spreadsheet/ccc?key=0Ap5qCQ_OckeXdGFMczdpeU54OTlIRTc0MTNKSEM5amc#gid=0
[Customer Survey] https://docs.google.com/a/optimizely.com/spreadsheet/ccc?key=tEueQS9r3_HLlpgMDlkYogw#gid=0

[Project Owner] Linda Tai	linda.tai@yousendit.com ",null
4084652005631,,2013-03-14,[Liftopia] Onboarding,"[ONBOARDING OBJECTIVE] create an awesome experience for new platinum clients so they 1) decide NOT to opt-out of 30 day trial and 2) have a great foundation to be successful
[DESCRIPTION] this includes all the major provisioning and TAM tasks needed to successfully onboard a new platinum client.  
[Sales Survey] https://docs.google.com/a/optimizely.com/spreadsheet/ccc?key=0Ap5qCQ_OckeXdGFMczdpeU54OTlIRTc0MTNKSEM5amc#gid=0
[Customer Survey] https://docs.google.com/a/optimizely.com/spreadsheet/ccc?key=tEueQS9r3_HLlpgMDlkYogw#gid=0

[Project Owner] Dave Nuffer	dave@liftopia.com",null
6367886931767,,2013-08-12,[ricardo.ch] Onboarding,"[ONBOARDING OBJECTIVE] create an awesome experience for new platinum clients so they 1) decide NOT to opt-out of 30 day trial and 2) have a great foundation to be successful
[DESCRIPTION] this includes all the major provisioning and TAM tasks needed to successfully onboard a new platinum client.  
[Sales Survey] https://docs.google.com/a/optimizely.com/spreadsheet/ccc?key=0Ap5qCQ_OckeXdGFMczdpeU54OTlIRTc0MTNKSEM5amc#gid=0
[Customer Survey] https://docs.google.com/a/optimizely.com/spreadsheet/ccc?key=tEueQS9r3_HLlpgMDlkYogw#gid=0

[Project Owner] Mike Jenke mike.jenke@autoricardo.ch

Location: Zug, Switzerland",null
3015571272548,,null,[Home Depot Canada] Onboarding,"[ONBOARDING OBJECTIVE] create an awesome experience for new platinum clients so they 1) decide NOT to opt-out of 30 day trial and 2) have a great foundation to be successful
[DESCRIPTION] this includes all the major provisioning and TAM tasks needed to successfully onboard a new platinum client.  
[Sales Survey] https://docs.google.com/a/optimizely.com/spreadsheet/ccc?key=0Ap5qCQ_OckeXdGFMczdpeU54OTlIRTc0MTNKSEM5amc#gid=0",null
4095388482641,,null,[Dish Digital] Onboarding,"[ONBOARDING OBJECTIVE] create an awesome experience for new platinum clients so they 1) decide NOT to opt-out of 30 day trial and 2) have a great foundation to be successful
[DESCRIPTION] this includes all the major provisioning and TAM tasks needed to successfully onboard a new platinum client.  
[Sales Survey] https://docs.google.com/a/optimizely.com/spreadsheet/ccc?key=0Ap5qCQ_OckeXdGFMczdpeU54OTlIRTc0MTNKSEM5amc#gid=0
[Customer Survey] https://docs.google.com/a/optimizely.com/spreadsheet/ccc?key=tEueQS9r3_HLlpgMDlkYogw#gid=0

[Project Owner] Patrick Morris	patrick.morris@dishdigital.com",null
5241268762914,,2013-05-27,[Centerfield Media] Onboarding,"[ONBOARDING OBJECTIVE] create an awesome experience for new platinum clients so they 1) decide NOT to opt-out of 30 day trial and 2) have a great foundation to be successful
[DESCRIPTION] this includes all the major provisioning and TAM tasks needed to successfully onboard a new platinum client.  
[Sales Survey] https://docs.google.com/a/optimizely.com/spreadsheet/ccc?key=0Ap5qCQ_OckeXdGFMczdpeU54OTlIRTc0MTNKSEM5amc#gid=0
[Customer Survey] https://docs.google.com/a/optimizely.com/spreadsheet/ccc?key=tEueQS9r3_HLlpgMDlkYogw#gid=0

[Project Owner] Gary Pak	gpak@centerfield.com",null
2370828629330,,null,Geico,,null
2049743578293,,null,Fareportal (CheapOair.com),,null
1950081073612,,null,Orbitz.com,,null
2214672260792,,null,Gazelle,,null
2049743578283,,null,Footlocker/Eastbay,,null
1959052484361,,null,GoDaddy.com,,null
2917655164663,,2013-03-12,[Gilt Japan] Onboarding,"[ONBOARDING OBJECTIVE] create an awesome experience for new platinum clients so they 1) decide NOT to opt-out of 30 day trial and 2) have a great foundation to be successful
[DESCRIPTION] this includes all the major provisioning and TAM tasks needed to successfully onboard a new platinum client.  
[Sales Survey] https://docs.google.com/a/optimizely.com/spreadsheet/ccc?key=0Ap5qCQ_OckeXdGFMczdpeU54OTlIRTc0MTNKSEM5amc#gid=0
[Customer Survey] https://docs.google.com/a/optimizely.com/spreadsheet/ccc?key=tEueQS9r3_HLlpgMDlkYogw#gid=0

[Project Owner] Thomas Tachibana, Product Manager	ttachibana@gilt.jp",null
6312291838951,,2013-11-15,`[Gamefly] Onboarding (starts 8/15),"[ONBOARDING OBJECTIVE] create an awesome experience for new platinum clients so they 1) decide NOT to opt-out of 30 day trial and 2) have a great foundation to be successful
[DESCRIPTION] this includes all the major provisioning and TAM tasks needed to successfully onboard a new platinum client.  
[Sales Survey] https://docs.google.com/a/optimizely.com/spreadsheet/ccc?key=0Ap5qCQ_OckeXdGFMczdpeU54OTlIRTc0MTNKSEM5amc#gid=0
[Customer Survey] https://docs.google.com/a/optimizely.com/spreadsheet/ccc?key=tEueQS9r3_HLlpgMDlkYogw#gid=0

[Project Owner] Saujin Yi, VP Strategy & Product	syi@gamefly.com

90 day poc starts aug 15th
",null
6367884483517,,2013-09-05,[Red 7 Media] Onboarding (Starts 8/5),"[ONBOARDING OBJECTIVE] create an awesome experience for new platinum clients so they 1) decide NOT to opt-out of 30 day trial and 2) have a great foundation to be successful
[DESCRIPTION] this includes all the major provisioning and TAM tasks needed to successfully onboard a new platinum client.  
[Sales Survey] https://docs.google.com/a/optimizely.com/spreadsheet/ccc?key=0Ap5qCQ_OckeXdGFMczdpeU54OTlIRTc0MTNKSEM5amc#gid=0
[Customer Survey] https://docs.google.com/a/optimizely.com/spreadsheet/ccc?key=tEueQS9r3_HLlpgMDlkYogw#gid=0

[Project Owner] Sarah Szczesny <SSzczesny@red7media.com>
Used to be: Kelly Cingari <kcingari@accessintel.com>

",null
4177104087937,,2013-03-21,[Bang with Friends] Onboarding,"[ONBOARDING OBJECTIVE] create an awesome experience for new platinum clients so they 1) decide NOT to opt-out of 30 day trial and 2) have a great foundation to be successful
[DESCRIPTION] this includes all the major provisioning and TAM tasks needed to successfully onboard a new platinum client.  
[Sales Survey] https://docs.google.com/a/optimizely.com/spreadsheet/ccc?key=0Ap5qCQ_OckeXdGFMczdpeU54OTlIRTc0MTNKSEM5amc#gid=0
[Customer Survey] https://docs.google.com/a/optimizely.com/spreadsheet/ccc?key=tEueQS9r3_HLlpgMDlkYogw#gid=0

[Project Owner] Colin Hodge, Founder and CEO	c@bangwithfriends.com",null
5050815313288,,2013-08-09,[OnlineFabricStore] Onboarding (90 Day POC),"[ONBOARDING OBJECTIVE] create an awesome experience for new platinum clients so they 1) decide NOT to opt-out of 30 day trial and 2) have a great foundation to be successful
[DESCRIPTION] this includes all the major provisioning and TAM tasks needed to successfully onboard a new platinum client.  
[Sales Survey] https://docs.google.com/a/optimizely.com/spreadsheet/ccc?key=0Ap5qCQ_OckeXdGFMczdpeU54OTlIRTc0MTNKSEM5amc#gid=0
[Customer Survey] https://docs.google.com/a/optimizely.com/spreadsheet/ccc?key=tEueQS9r3_HLlpgMDlkYogw#gid=0

[Project Owner] Matthew Trant, Director of Digital Marketing	mtrant@onlinefabricstore.net",null
